vaultId,content
6,goldgoldgoldgoldsilversilversilversilversilversilversilversilvereuroeuro
3,euroeuroeuroeuroeuroeuroeuro
10,goldgoldgoldgoldgoldgoldgoldgoldsilversilversilvereuroeuroeuroeuroeuro
7,goldgoldgoldgoldgoldgoldgoldsilversilversilvereuroeuroeuroeuroeuro
7,goldgoldgoldgoldgoldgoldgoldgoldsilversilversilversilversilvereuroeuroeuroeuroeuro
1,goldgoldgoldgoldgoldgoldgoldgoldsilversilversilversilversilversilversilvereuroeuroeuroeuroeuroeuroeuro
8,goldgoldgoldgoldgoldgoldgoldgoldgoldsilversilversilversilversilversilversilversilversilvereuroeuroeuroeuroeuroeuro
2,silversilversilversilversilversilversilversilvereuroeuroeuroeuroeuroeuroeuroeuroeuro
1,goldgoldgoldgoldgoldeuroeuroeuro
8,goldgoldgoldgoldgoldgoldsilversilversilversilvereuroeuroeuroeuro
8,goldgoldgoldgoldgoldgoldeuroeuroeuroeuroeuroeuroeuroeuro
4,goldgold
8,goldgoldgoldgoldgoldsilversilversilversilversilversilversilversilvereuro
3,goldgoldgoldgoldgoldgoldgoldeuro
2,goldgoldsilvereuro
2,goldgoldsilversilversilversilversilversilversilversilvereuroeuroeuro
2,goldgoldgoldgoldgoldgoldgoldgoldeuro
7,goldgoldgoldeuroeuroeuroeuroeuroeuroeuro
5,goldgoldsilvereuroeuroeuroeuroeuroeuroeuroeuroeuro
2,goldgoldgoldgoldgoldgoldgoldgoldgoldsilversilversilversilversilversilversilversilvereuroeuroeuro
8,goldgoldgoldsilversilversilversilversilversilversilversilvereuroeuroeuro
9,goldgoldgoldsilversilversilversilversilvereuroeuroeuroeuroeuroeuroeuroeuroeuro
1,goldgoldsilversilversilversilversilversilversilversilversilvereuroeuro
7,goldgoldgoldgoldsilversilversilvereuroeuroeuroeuroeuroeuroeuroeuroeuro
3,goldgoldgoldsilversilversilversilversilversilversilversilversilver
9,silvereuroeuro
9,goldsilversilversilversilversilversilversilversilversilvereuroeuro
7,goldgoldgoldgoldgoldgoldsilversilversilversilversilversilvereuroeuroeuroeuroeuroeuroeuroeuro
9,goldgoldgoldgoldsilversilversilversilvereuroeuroeuroeuroeuroeuro
2,goldgoldsilversilversilversilversilvereuroeuroeuroeuro
1,goldeuroeuroeuro
3,goldgoldgoldgoldgoldgoldgoldgoldsilversilversilversilvereuroeuroeuroeuroeuroeuroeuro
3,goldgoldgoldgoldgoldgoldgoldgoldgoldsilversilversilversilversilvereuroeuroeuroeuroeuroeuroeuroeuro
2,goldgoldgoldgoldgoldgoldgoldsilvereuroeuroeuroeuroeuroeuroeuroeuroeuro
1,goldsilvereuroeuroeuroeuroeuroeuroeuro
2,goldgoldgoldgoldgoldgoldgoldgoldsilversilversilversilversilvereuroeuroeuroeuroeuroeuroeuroeuro
3,goldgoldgoldsilversilversilvereuroeuroeuroeuroeuroeuroeuroeuroeuro
8,goldgoldgoldgoldgoldgoldgoldsilversilversilversilversilver
9,goldgoldgoldgoldgoldsilversilversilversilvereuroeuroeuroeuroeuroeuroeuroeuroeuro
1,goldgoldgoldgoldgoldsilversilvereuroeuro
2,goldgoldgoldgoldgoldgoldgoldgoldsilversilversilversilvereuroeuroeuroeuro
10,goldgoldsilversilversilversilversilvereuroeuroeuroeuroeuroeuroeuro
3,goldgoldgoldgoldgoldsilversilversilversilvereuroeuroeuroeuroeuro
10,goldsilversilversilversilversilversilversilversilvereuroeuroeuroeuroeuroeuroeuroeuro
7,goldgoldgoldgoldgoldsilversilversilversilversilvereuroeuro
3,goldgoldgoldgoldgoldgoldgoldgoldsilversilversilversilversilversilversilversilversilvereuro
3,goldgoldgoldgoldgoldgold
4,goldgoldgoldeuroeuro
6,goldgoldgoldgoldgoldgoldeuro
9,goldgoldgoldgoldgoldgoldgoldsilversilversilversilvereuroeuro
3,goldgoldgoldgoldgoldgoldgoldgoldsilversilversilvereuro
3,goldgoldgoldgoldsilversilversilversilversilversilversilversilvereuroeuroeuroeuroeuroeuro
6,goldgoldgoldgoldsilversilversilvereuroeuroeuro
4,goldgoldgoldsilversilversilversilversilvereuroeuroeuroeuroeuro
2,silversilversilversilversilversilversilvereuroeuroeuroeuro
9,goldgoldgoldgoldgoldgoldgoldgoldsilversilversilversilversilversilversilvereuroeuroeuroeuroeuroeuro
4,goldgoldgoldgoldgoldgoldsilversilversilversilversilversilversilversilvereuroeuroeuroeuroeuroeuroeuro
5,goldgoldgoldgoldgoldsilversilversilvereuro
10,goldsilversilversilversilversilversilvereuroeuroeuroeuroeuroeuroeuroeuroeuro
4,goldgoldgoldgoldgoldgoldgoldgoldgoldsilversilversilversilversilversilvereuroeuroeuroeuroeuroeuroeuro
10,goldgoldgoldsilversilversilversilversilversilversilversilversilvereuroeuroeuroeuroeuroeuro
3,goldgoldgoldgoldgoldgoldgoldgoldgoldsilversilversilversilversilversilversilversilvereuroeuro
2,goldgoldgoldgoldgoldgoldsilversilversilversilversilversilvereuroeuro
5,goldgoldgoldgoldgoldgoldgoldgoldsilvereuroeuroeuroeuro
7,goldgoldgoldgoldgoldgoldgoldgoldgoldsilversilversilversilversilversilversilvereuro
3,goldsilversilversilversilversilversilversilversilversilvereuroeuroeuroeuro
9,silver
10,goldgoldgoldgoldgoldgoldsilversilver
4,goldgoldgoldgoldgoldeuroeuroeuroeuroeuroeuro
10,goldgoldgoldgoldgoldgoldgoldsilversilversilversilversilversilversilvereuroeuroeuroeuroeuroeuro
9,goldgoldgoldgoldgoldgoldgoldsilversilversilversilversilversilversilversilversilvereuroeuroeuroeuro
1,goldgoldsilvereuroeuroeuroeuroeuroeuroeuroeuro
7,goldgoldgoldgoldgoldgoldsilversilversilversilversilversilversilvereuroeuroeuroeuroeuroeuroeuroeuroeuro
6,goldgoldgoldgoldgoldgoldsilversilversilversilversilvereuro
1,goldgoldgoldgoldgoldgoldsilversilversilversilversilversilvereuroeuroeuroeuro
7,goldgoldgoldgoldgoldgoldgoldgoldsilversilversilversilversilversilvereuroeuroeuroeuroeuro
9,goldeuroeuroeuroeuroeuroeuroeuroeuro
10,goldgoldgoldgoldsilversilversilversilvereuroeuroeuro
4,goldgoldgoldgoldgoldgoldgoldsilversilversilversilversilversilversilversilversilvereuroeuroeuro
1,goldgoldgoldgoldgoldgoldgoldsilversilversilversilvereuroeuroeuroeuroeuroeuro
5,goldgoldgoldgoldgoldgoldeuroeuroeuro
1,silversilversilvereuroeuroeuro
5,goldgoldgoldsilversilvereuroeuroeuroeuroeuro
5,goldgoldgoldgoldgoldeuroeuroeuroeuroeuroeuro
3,goldgoldgoldgoldgoldgoldgoldeuroeuro
10,goldgoldgoldgoldgoldgoldgoldgoldgoldsilversilversilversilversilversilvereuroeuroeuro
9,goldgoldgoldgoldgoldgoldsilversilvereuroeuroeuroeuroeuroeuro
3,goldgoldgoldsilversilversilversilversilvereuroeuro
2,goldgoldgoldgoldgoldgoldgoldsilvereuroeuroeuro
9,goldgoldgoldgoldgoldsilversilvereuroeuroeuroeuroeuroeuroeuroeuro
4,goldgoldgoldgoldgoldsilversilversilvereuroeuroeuroeuro
5,goldgoldgoldgoldgoldgoldgoldsilvereuroeuroeuroeuroeuroeuroeuroeuro
2,goldgoldgoldgoldgoldgoldgoldsilversilversilversilversilversilversilvereuroeuro
4,goldgoldgoldsilvereuro
